"NOME_PRODOTTO","DATA_RILEVAZIONE","PREZZO","IVA","ACCISA","NETTO"
"Benzina","2010-11-29","1384.92","230.82","564.00","590.10"
"Gasolio auto","2010-11-29","1260.41","210.07","423.00","627.34"
"GPL","2010-11-29","694.02","115.67","125.27","453.08"
"Benzina","2010-12-06","1412.07","235.34","564.00","612.73"
"Gasolio auto","2010-12-06","1285.61","214.27","423.00","648.34"
"GPL","2010-12-06","720.58","120.10","125.27","475.21"
"Benzina","2010-12-13","1419.32","236.55","564.00","618.77"
"Gasolio auto","2010-12-13","1295.23","215.87","423.00","656.36"
"GPL","2010-12-13","735.99","122.67","125.27","488.05"
"Benzina","2010-12-20","1417.72","236.29","564.00","617.43"
"Gasolio auto","2010-12-20","1292.50","215.42","423.00","654.08"
"GPL","2010-12-20","740.54","123.42","125.27","491.85"
"Benzina","2011-01-03","1437.50","239.58","564.00","633.92"
"Gasolio auto","2011-01-03","1312.12","218.69","423.00","670.43"
"GPL","2011-01-03","749.61","124.94","125.27","499.40"
"Benzina","2011-01-10","1444.69","240.78","564.00","639.91"
"Gasolio auto","2011-01-10","1318.27","219.71","423.00","675.56"
"GPL","2011-01-10","753.11","125.52","125.27","502.32"
"Benzina","2011-01-17","1465.60","244.27","564.00","657.33"
"Gasolio auto","2011-01-17","1340.35","223.39","423.00","693.96"
"GPL","2011-01-17","784.92","130.82","125.27","528.83"
"Benzina","2011-01-24","1470.51","245.08","564.00","661.43"
"Gasolio auto","2011-01-24","1349.45","224.91","423.00","701.54"
"GPL","2011-01-24","789.82","131.64","125.27","532.91"
"Benzina","2011-01-31","1465.82","244.30","564.00","657.52"
"Gasolio auto","2011-01-31","1345.89","224.32","423.00","698.57"
"GPL","2011-01-31","791.27","131.88","125.27","534.12"
"Benzina","2011-02-07","1465.98","244.33","564.00","657.65"
"Gasolio auto","2011-02-07","1346.85","224.47","423.00","699.38"
"GPL","2011-02-07","791.36","131.89","125.27","534.20"
"Benzina","2011-02-14","1466.05","244.34","564.00","657.71"
"Gasolio auto","2011-02-14","1347.68","224.61","423.00","700.07"
"GPL","2011-02-14","790.68","131.78","125.27","533.63"
"Benzina","2011-02-21","1474.65","245.77","564.00","664.88"
"Gasolio auto","2011-02-21","1358.03","226.34","423.00","708.69"
"GPL","2011-02-21","790.20","131.70","125.27","533.23"
"Benzina","2011-02-28","1507.97","251.33","564.00","692.64"
"Gasolio auto","2011-02-28","1392.09","232.01","423.00","737.08"
"GPL","2011-02-28","790.43","131.74","125.27","533.42"
"Benzina","2011-03-07","1524.87","254.14","564.00","706.73"
"Gasolio auto","2011-03-07","1416.67","236.11","423.00","757.56"
"GPL","2011-03-07","793.84","132.31","125.27","536.26"
"Benzina","2011-03-14","1531.48","255.25","564.00","712.23"
"Gasolio auto","2011-03-14","1422.61","237.10","423.00","762.51"
"GPL","2011-03-14","794.91","132.48","125.27","537.16"
"Benzina","2011-03-21","1527.15","254.52","564.00","708.63"
"Gasolio auto","2011-03-21","1425.26","237.54","423.00","764.72"
"GPL","2011-03-21","791.42","131.90","125.27","534.25"
"Benzina","2011-03-28","1521.36","253.56","564.00","703.80"
"Gasolio auto","2011-03-28","1428.57","238.09","423.00","767.48"
"GPL","2011-03-28","790.82","131.80","125.27","533.75"
"Benzina","2011-04-04","1523.01","253.84","564.00","705.17"
"Gasolio auto","2011-04-04","1429.17","238.19","423.00","767.98"
"GPL","2011-04-04","790.76","131.79","125.27","533.70"
"Benzina","2011-04-11","1549.87","258.31","571.30","720.26"
"Gasolio auto","2011-04-11","1456.62","242.77","430.30","783.55"
"GPL","2011-04-11","790.85","131.81","125.27","533.77"
"Benzina","2011-04-18","1554.80","259.13","571.30","724.37"
"Gasolio auto","2011-04-18","1459.77","243.30","430.30","786.17"
"GPL","2011-04-18","788.86","131.48","125.27","532.11"
"Benzina","2011-04-25","1551.33","258.55","571.30","721.48"
"Gasolio auto","2011-04-25","1456.20","242.70","430.30","783.20"
"GPL","2011-04-25","788.30","131.38","125.27","531.65"
"Benzina","2011-05-02","1552.47","258.74","571.30","722.43"
"Gasolio auto","2011-05-02","1456.81","242.80","430.30","783.71"
"GPL","2011-05-02","788.27","131.38","125.27","531.62"
"Benzina","2011-05-16","1550.81","258.47","571.30","721.04"
"Gasolio auto","2011-05-16","1408.96","234.83","430.30","743.83"
"GPL","2011-05-16","776.48","129.41","125.27","521.80"
"Benzina","2011-05-23","1538.32","256.39","571.30","710.63"
"Gasolio auto","2011-05-23","1403.06","233.84","430.30","738.92"
"GPL","2011-05-23","774.19","129.03","125.27","519.89"
"Benzina","2011-05-30","1537.32","256.22","571.30","709.80"
"Gasolio auto","2011-05-30","1402.98","233.83","430.30","738.85"
"GPL","2011-05-30","773.99","129.00","125.27","519.72"
"Benzina","2011-06-06","1535.30","255.88","571.30","708.12"
"Gasolio auto","2011-06-06","1401.79","233.63","430.30","737.86"
"GPL","2011-06-06","759.49","126.58","125.27","507.64"
"Benzina","2011-06-13","1530.59","255.10","571.30","704.19"
"Gasolio auto","2011-06-13","1403.85","233.98","430.30","739.57"
"GPL","2011-06-13","749.91","124.99","125.27","499.65"
"Benzina","2011-06-20","1529.36","254.89","571.30","703.17"
"Gasolio auto","2011-06-20","1411.69","235.28","430.30","746.11"
"GPL","2011-06-20","749.85","124.97","125.27","499.61"
"Benzina","2011-06-27","1506.84","251.14","571.30","684.40"
"Gasolio auto","2011-06-27","1384.81","230.80","430.30","723.71"
"GPL","2011-06-27","743.42","123.90","125.27","494.25"
"Benzina","2011-07-04","1555.63","259.27","613.20","683.16"
"Gasolio auto","2011-07-04","1428.62","238.10","472.20","718.32"
"GPL","2011-07-04","740.52","123.42","125.27","491.83"
"Benzina","2011-07-18","1589.80","264.97","613.20","711.63"
"Gasolio auto","2011-07-18","1464.57","244.09","472.20","748.28"
"GPL","2011-07-18","731.59","121.93","125.27","484.39"
"Benzina","2011-07-25","1590.24","265.04","613.20","712.00"
"Gasolio auto","2011-07-25","1465.31","244.22","472.20","748.89"
"GPL","2011-07-25","730.62","121.77","125.27","483.58"
"Benzina","2011-08-01","1597.52","266.25","613.20","718.07"
"Gasolio auto","2011-08-01","1473.98","245.66","472.20","756.12"
"GPL","2011-08-01","728.36","121.39","125.27","481.70"
"Benzina","2011-08-08","1592.74","265.46","613.20","714.08"
"Gasolio auto","2011-08-08","1467.92","244.65","472.20","751.07"
"GPL","2011-08-08","728.42","121.40","125.27","481.75"
"Benzina","2011-08-22","1568.84","261.47","613.20","694.17"
"Gasolio auto","2011-08-22","1442.67","240.45","472.20","730.02"
"GPL","2011-08-22","726.87","121.14","125.27","480.46"
"Benzina","2011-08-29","1567.91","261.32","613.20","693.39"
"Gasolio auto","2011-08-29","1441.63","240.27","472.20","729.16"
"GPL","2011-08-29","725.00","120.83","125.27","478.90"
"Benzina","2011-09-05","1575.39","262.56","613.20","699.63"
"Gasolio auto","2011-09-05","1449.27","241.54","472.20","735.53"
"GPL","2011-09-05","729.86","121.64","125.27","482.95"
"Benzina","2011-09-12","1590.44","265.07","613.20","712.17"
"Gasolio auto","2011-09-12","1464.80","244.13","472.20","748.47"
"GPL","2011-09-12","729.94","121.66","125.27","483.01"
"Benzina","2011-09-19","1605.45","278.63","613.20","713.62"
"Gasolio auto","2011-09-19","1482.81","257.35","472.20","753.26"
"GPL","2011-09-19","737.45","127.99","125.27","484.19"
"Benzina","2011-09-26","1604.02","278.38","613.20","712.44"
"Gasolio auto","2011-09-26","1485.80","257.87","472.20","755.73"
"GPL","2011-09-26","731.88","127.02","125.27","479.59"
"Benzina","2011-10-03","1594.12","276.67","613.20","704.25"
"Gasolio auto","2011-10-03","1482.51","257.30","472.20","753.01"
"GPL","2011-10-03","731.79","127.00","125.27","479.52"
"Benzina","2011-10-10","1585.94","275.25","613.20","697.49"
"Gasolio auto","2011-10-10","1479.61","256.79","472.20","750.62"
"GPL","2011-10-10","730.86","126.84","125.27","478.75"
"Benzina","2011-10-17","1589.06","275.79","613.20","700.07"
"Gasolio auto","2011-10-17","1481.21","257.07","472.20","751.94"
"GPL","2011-10-17","729.85","126.67","125.27","477.91"
"Benzina","2011-10-24","1597.10","277.18","613.20","706.72"
"Gasolio auto","2011-10-24","1491.04","258.78","472.20","760.06"
"GPL","2011-10-24","727.90","126.33","125.27","476.30"
"Benzina","2011-10-31","1588.92","275.76","613.20","699.96"
"Gasolio auto","2011-10-31","1489.35","258.48","472.20","758.67"
"GPL","2011-10-31","726.73","126.13","125.27","475.33"
"Benzina","2011-11-07","1592.13","276.32","622.10","693.71"
"Gasolio auto","2011-11-07","1501.36","260.57","481.10","759.69"
"GPL","2011-11-07","726.19","126.03","125.27","474.89"
"Benzina","2011-11-14","1594.72","276.77","622.10","695.85"
"Gasolio auto","2011-11-14","1516.18","263.14","481.10","771.94"
"GPL","2011-11-14","726.29","126.05","125.27","474.97"
"Benzina","2011-11-21","1587.57","275.53","622.10","689.94"
"Gasolio auto","2011-11-21","1525.03","264.67","481.10","779.26"
"GPL","2011-11-21","721.88","125.28","125.27","471.33"
"Benzina","2011-11-28","1576.98","273.69","622.10","681.19"
"Gasolio auto","2011-11-28","1529.30","265.42","481.10","782.78"
"GPL","2011-11-28","725.39","125.89","125.27","474.23"
"Benzina","2011-12-05","1575.30","273.40","622.10","679.80"
"Gasolio auto","2011-12-05","1525.92","264.83","481.10","779.99"
"GPL","2011-12-05","725.07","125.84","125.27","473.96"
"Benzina","2011-12-12","1672.73","290.31","704.20","678.22"
"Gasolio auto","2011-12-12","1658.31","287.81","593.20","777.30"
"GPL","2011-12-12","740.26","128.47","147.27","464.52"
"Benzina","2011-12-19","1673.50","290.44","704.20","678.86"
"Gasolio auto","2011-12-19","1653.99","287.06","593.20","773.73"
"GPL","2011-12-19","740.39","128.50","147.27","464.62"
"Benzina","2011-12-26","1675.76","290.83","704.20","680.73"
"Gasolio auto","2011-12-26","1653.05","286.89","593.20","772.96"
"GPL","2011-12-26","741.02","128.61","147.27","465.14"
"Benzina","2012-01-02","1686.26","292.66","704.20","689.40"
"Gasolio auto","2012-01-02","1653.11","286.90","593.20","773.01"
"GPL","2012-01-02","748.40","129.89","147.27","471.24"
"Benzina","2012-01-09","1694.02","294.00","704.20","695.82"
"Gasolio auto","2012-01-09","1664.02","288.80","593.20","782.02"
"GPL","2012-01-09","752.73","130.64","147.27","474.82"
"Benzina","2012-01-16","1709.35","296.66","704.20","708.49"
"Gasolio auto","2012-01-16","1681.51","291.83","593.20","796.48"
"GPL","2012-01-16","757.42","131.45","147.27","478.70"
"Benzina","2012-01-23","1712.78","297.26","704.20","711.32"
"Gasolio auto","2012-01-23","1687.00","292.79","593.20","801.01"
"GPL","2012-01-23","757.89","131.53","147.27","479.09"
"Benzina","2012-01-30","1717.62","298.10","704.20","715.32"
"Gasolio auto","2012-01-30","1685.18","292.47","593.20","799.51"
