"idStation","speed","location","lat","lng","Sigla","Provincia"
"NC-440144388182070","slow","Viale Daniele Hanbury ‌Alassio","44.014439","8.18207","SV","savona"
"COM25R22Q4200098","fast","Via Giuseppe Mazzini ‌Albenga","44.049745","8.21583","SV","savona"
"OCPI-130-20XP22T3KK1AL00482","fast","Piazza Sagrato ‌Montegrosso Pian Latte","44.0671","7.81696","IM","imperia"
"OCPI-130-21XP22T3KKJAL00647","fast","Via Alessandro Colombo, 53 ‌Cisano Sul Neva","44.087189","8.144946","SV","savona"
"44448783333333348973333333333333_1","slow","Strada Provinciale 582 del Colle di San Berna ‌Albenga","44.056011","8.194462","SV","savona"
"OCPI-130-19XM32T7GB3W000063","rapid","SP582, 1 ‌Cisano Sul Neva","44.069992","8.168698","SV","savona"
"OCPI-129-cad490f8-e3ed-4396-9471-c2db92cbd9d2","fast,rapid","Strada Statale Albenga - Garessio, 3 ‌Albenga","44.05525","8.20512","SV","savona"
"NC-440570018224689","slow","Viale Ernesto Che Guevara 57 ‌Albenga","44.058006","8.224956","SV","savona"
"OCPI-130-EVOS_thing2974","fast","Via Magnone ‌Ceriale","44.09199","8.226721","SV","savona"
"OCPI-130-EVOS_thing2043","fast","Lungomare Armando Diaz, 1 ‌Ceriale","44.100047","8.235702","SV","savona"
"441211088225691-NC_1","slow","Regione Bottiglie ‌Toirano","44.121109","8.225691","SV","savona"
"WA-TESLA-35847","fast","Viale Silvio Amico ‌Loano","44.130548","8.243471","SV","savona"
"WA-TESLA-25916","fast","Lungo Mare Sauro Nazario ‌Loano","44.13024","8.262984","SV","savona"
"NC-441317048263674","slow","Lungomare Nazario Sauro ‌Loano","44.13162","8.263775","SV","savona"
"803","slow","Via Goffredo Mameli ‌Pietra Ligure","44.140064","8.268979","SV","savona"
"OCPI-130-20XM32T7KK4AR00140","rapid","Viale 25 Aprile ‌Pietra Ligure","44.144238","8.274675","SV","savona"
"NC-441563167563610","slow","Località Panice Soprana, 115 ‌Limone Piemonte","44.156316","7.56361","CN","cuneo"
"NC-441665067553237","slow","Via Rocca dell'Abisso 33 ‌Limone Piemonte","44.166506","7.553237","CN","cuneo"
"NC-441989517580820","slow","Via Genova ‌Limone Piemonte","44.198951","7.58082","CN","cuneo"
"OCPI-130-20XP22T3KK4AL01007","fast","Via Ignazio Borro ‌Pietra Ligure","44.151182","8.284981","SV","savona"
"NC-441528968292107","slow","Corso Italia 219 ‌Pietra Ligure","44.152905","8.292105","SV","savona"
"NC-441953968273079","slow","Via San Pantaleo in Frazione Bardino Vecchio ‌Tovo San Giacomo","44.195396","8.273079","SV","savona"
"NC-441776598326104","slow","Via Fiume 3 ‌Finale Ligure","44.177659","8.326104","SV","savona"
"OCPI-130-EVOS_thing7017","fast","PIAZZA RISORGIMENTO,21 ‌Limone Piemonte","44.202496","7.577884","CN","cuneo"
"NC-442274528420088","slow","Lungomare Guglielmo Marconi ‌Spotorno","44.227452","8.420088","SV","savona"
"NC-442496958444373","slow","Via 25 Aprile ‌Bergeggi","44.249695","8.444373","SV","savona"
"NC-442186079520942","slow","Corso Italia ‌Deiva Marina","44.218607","9.520942","SP","la spezia"
"OCPI-130-EVOS_thing2494","slow,fast","Corso Italia ‌Deiva Marina","44.218656","9.520467","SP","la spezia"
