"provincia","AL","BE","BG","BM","EL","GA","IB","IG","ME","ND","Totale"
"trento","15","227292","22087","4732","18836","407948","38996","12176","2811","9","734902"
"treviso","12","258008","41203","7510","1982","273261","15818","2255","2880","11","602940"
"trieste","3","83967","1563","118","313","39313","4408","259","21","5","129970"
"udine","15","196472","9684","1046","1169","150879","9562","867","281","6","369981"
"varese","8","367632","19456","2479","2191","176655","24541","1305","814","24","595105"
"venezia","6","210104","44743","8423","1342","197168","12585","1608","2374","10","478363"
"verbano","2","58116","4103","422","230","40937","2593","205","122","1","106731"
"vercelli","3","58278","8782","500","284","47843","3254","249","135","4","119332"
"verona","12","246587","54559","24381","2455","268984","15943","2713","9023","23","624680"
"vibo valentia","1","49213","3442","200","47","57463","880","121","53","2","111422"
"vicenza","9","247609","39884","8976","2268","260934","18322","2089","3156","3","583250"
"viterbo","6","95505","16952","1307","288","115485","3612","416","295","2","233868"
