Provincia;CodiceISTAT;Anno;Densita
BARLETTA;110002;2019;639.7
BARLETTA;110002;2020;641.7
BARLETTA;110002;2021;644.4
TRANI;110009;2015;524.1
TRANI;110009;2016;524.2
TRANI;110009;2017;525.0
TRANI;110009;2018;526.4
TRANI;110009;2019;527.4
TRANI;110009;2020;528.0
TRANI;110009;2021;528.8
